Density	Iteration	Generations	AliveCells
0.1	1	397	21
0.1	2	291	25
0.1	3	14	15
0.1	4	16	23
0.1	5	206	27
0.1	6	16	15
0.1	7	23	15
0.1	8	132	14
0.1	9	14	16
0.1	10	23	26
0.2	1	492	23
0.2	2	430	22
0.2	3	677	37
0.2	4	657	41
0.2	5	405	24
0.2	6	161	45
0.2	7	276	27
0.2	8	179	28
0.2	9	704	39
0.2	10	316	53
0.3	1	214	14
0.3	2	299	41
0.3	3	629	21
0.3	4	181	47
0.3	5	541	35
0.3	6	322	39
0.3	7	303	33
0.3	8	258	0
0.3	9	662	10
0.3	10	178	64
0.4	1	347	60
0.4	2	450	27
0.4	3	187	30
0.4	4	332	44
0.4	5	507	5
0.4	6	630	32
0.4	7	582	49
0.4	8	437	19
0.4	9	653	17
0.4	10	307	28
0.5	1	171	24
0.5	2	1000	80
0.5	3	1000	69
0.5	4	440	17
0.5	5	456	46
0.5	6	543	29
0.5	7	300	27
0.5	8	300	24
0.5	9	911	13
0.5	10	237	19
