Density	Iteration	Generations	AliveCells
0.1	1	23	18
0.1	2	764	44
0.1	3	463	36
0.1	4	328	32
0.1	5	224	35
0.1	6	156	36
0.1	7	456	16
0.1	8	281	27
0.1	9	149	26
0.1	10	16	6
0.2	1	594	17
0.2	2	193	27
0.2	3	214	26
0.2	4	230	29
0.2	5	422	45
0.2	6	498	30
0.2	7	422	65
0.2	8	809	38
0.2	9	435	25
0.2	10	475	19
0.3	1	272	15
0.3	2	363	37
0.3	3	182	28
0.3	4	85	44
0.3	5	271	42
0.3	6	324	36
0.3	7	101	52
0.3	8	293	30
0.3	9	303	42
0.3	10	846	32
0.4	1	367	56
0.4	2	628	35
0.4	3	323	11
0.4	4	755	25
0.4	5	287	35
0.4	6	281	35
0.4	7	416	58
0.4	8	624	17
0.4	9	85	33
0.4	10	385	8
0.5	1	202	45
0.5	2	280	50
0.5	3	679	27
0.5	4	168	16
0.5	5	336	31
0.5	6	277	41
0.5	7	259	29
0.5	8	478	21
0.5	9	219	26
0.5	10	449	11
